country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,86.37000275,,,,88.62000275,,89.62000275,90.01000214,90.04000092,90.30000305,90.37999725,91.41000366,91.33999634,91.48000336,91.73000336,92.05000305,92.80999756,93.08000183,93.23000336,93.9019248,94.75764906,94.78488372,94.38538745,94.58396248,94.8005123
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,92.66999817,,,,,,,,,,96.08999634,,,,,,,,,,,,,
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,52.81000137,,,,,,,55.31999969,,,,,66.55999756,,,,,64.91000366,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,81.19000244,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,50.65000153,,,,,,,,,,,,,,,,,,,42.43999863,,,,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",98.47135162,98.52059174,98.56852722,,,,,,,,,,,,,,,,,,,,99.31072235,99.32865143,99.34700012,99.36766052,99.41535187,99.43575287,99.45275116,99.46800995,99.47991943,99.49182129,99.5003891
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",94.29000092,,,,,,,,,,95.72000122,,,,,,,,,96.69999695,,96.26999664,,96.87000275,,96.40000153,,,,,,,
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,90.91999817,,,,,,,,,,95.12000275,,,,,,,,,,96.73999786,,,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,36.34999847,,48.74000168,,,,,,,,,,,,,,43.90999985,,50.04000092,,,56.98045294,,50,,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,68.41000366,,,,,,,70.68000031,,,71.19000244,,,,,,,,72.55000305,,,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,67.16999817,,,,,,,,,,,75.01999664,,,,77.04000092,,73.55000305,,65.69144861,,,,
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,76.11000061,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",,91.05999756,,,91.20999908,,,,,,,,92.80000305,92.84999847,92.30000305,92.65000153,93.37999725,93.23999786,93.37000275,93.58000183,,,94.19000244,94.25,94.65000153,94.89271388,95.08999634,95.25,95.63999939,95.66655202,95.31388345,95.46255537,95.33999634
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,68.25,,,,,,,,,,,,,,73.79815792,,,,,,,75.82505714,,,
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,82.21237902,,,85.33000183,,,86.79000092,,,,,,,,,88.47000122
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,94.87000275,,,,,,,,,,,97.41000366,,,,,,,,,,,,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",,86.80937195,86.86946869,87.17054749,87.46974182,87.7618866,88.04931641,88.33538818,88.62441254,88.88282013,89.15331268,89.41068268,89.65486145,89.95030212,90.15196228,90.74803925,91.01875305,,,,,,,,,,,,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,99.80000305,,,,,,,,,,99.66999817,,,,,,,97.65000153,,,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,98.87000275,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",94.36000061,,,,,,,,,96.80000305,,,,,,,,,,98.68000031,,,,,,,,,,,,,
Czechia,CZE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,87,,,,,88.23999786,,,89.54000092,90.11000061,90.16000366,90.86000061,91.76000214,91.98999786,93.77999878,93.23223598,93.43558312,93.67582083,93.70097828,93.73689334,93.70223756,94.31237582,94.02999878
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,69.87000275,,,,72.65000153,,75.13999939,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",81.82151031,82.30895233,82.87233734,83.4338913,83.93139648,89.50981903,89.8761673,90.17822266,90.5535965,90.89263916,91.23964691,91.5803833,91.89633942,92.22103882,92.57436371,93.77954865,94.08309937,94.36463928,94.41409302,94.63474274,94.85968781,94.93260956,95.33869171,95.5418396,95.74217224,95.93148041,95.95484161,96.09738159,96.31459808,96.45059204,96.5920105,96.71948242,96.84574127
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",59.97821045,60.82065964,61.62096024,62.47871017,63.2406311,63.98643875,66.98854828,67.68630981,68.44277191,69.01352692,69.66580963,70.60973358,71.28481293,71.29206848,71.29985809,72.27776337,73.12509918,73.87973785,75.34998322,75.76291656,76.03475952,76.71434784,77.4954834,78.40955353,79.08168793,79.33454895,79.68443298,79.78765869,80.30062103,80.71309662,81.24279785,81.67678833,82.09693909
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",82.32662964,82.77024078,83.30497742,83.83833313,84.30226898,89.27278137,89.62503815,89.94730377,90.30899048,90.625,90.98230743,91.34754944,91.68475342,92.02414703,92.37389374,93.51170349,93.81858826,94.08978271,94.07943726,94.30252075,94.54386139,94.61769867,95.09316254,95.29857635,95.49958038,95.68736267,95.72973633,95.87264252,96.08612061,96.22344208,96.36312103,96.48822021,96.6137085
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",93.00787354,93.22036743,93.43064117,93.63868713,93.95874786,94.15628815,94.45702362,94.66500854,95.03076172,95.18003082,95.32504272,95.45786285,95.563797,95.83911133,95.73332214,95.89710236,96.01564026,96.84848785,97.41716003,97.86976624,98.13012695,98.2144928,98.28646851,98.35652161,98.47589111,98.59165192,98.65778351,98.79801941,98.82682037,98.87220001,98.90605927,98.96298218,99.01584625
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",,,95.8006134,95.95281219,96.126297,96.26489258,96.42275238,96.54141235,96.6375885,,96.89903259,96.98922729,97.07221222,97.1905365,97.24685669,97.32713318,97.44576263,97.70620728,97.87332916,98.01886749,98.11916351,98.18032837,98.2227478,98.27275085,98.33394623,98.41284943,98.50190735,98.5681076,98.60572815,98.73869324,98.74965668,98.76756287,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,90.98000336,,,,,,92.09999847,92.38999939,92.25,91.84999847,91.58999634,92.05999756,93.29000092,94.22000122,94.45999908,94.34999847,92.83000183,,,93.62999725,94.48000336,96.26000214,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",,,,,55.59000015,,,,,,,,,67.33000183,66.37000275,,,,72.05000305,,73.87000275,72.44000244,,,,71.16999817,,,,82.08333128,79.45657889,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,52.50999832,,,,,,64.66000366,,,,,,,,,,,,,,,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,97.16999817,97.75,97.75,97.94000244,97.62999725,97.68000031,97.75,97.77999878,97.88999939,98.08000183,98.08999634,98.13999939,98.25,,98.44000244,,98.58999634,99.69999695,,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,99.76999664,,,,,,,,,,,99.88999939,,,,,,,,,,,,,
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",,,27.01000023,,,,,,,,,,35.90000153,,,39,,,,,,48.35123109,,,47.49000168,,,55.04999924,,54.88612601,60.45999908,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
