Country,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75,,,,,,,,,,,,99.40000153,,,,,,,,,,99.73999786,,,,,99.73999786,99.73999786,,,99.79000092,,99.81999969,99.83999634,
American Samoa,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,97.33999634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94999695,,,,,,,,,,,,,,,,,,,,,,,
Australia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79000092,,,,,,,,99.58999634,,99.76000214,99.76999664,99.77999878,99.77999878,99.79000092,99.79000092,99.79000092,99.79000092,99.79000092,,99.80000305,,,,99.77999878,
Burundi,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,22.51000023,,,,,,,,,,,37.38000107,,,,,,,,,,59.29999924,,,,,,,,48.08000183,,,,,,61.29000092,,65.69000244,68.37999725,,,71.40781661,,,,
Belgium,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,16.47999954,,,,,,,,,,,,,27.25,,,,,,,,,,34.65999985,,,,,,,,,44.67485755,,45.08000183,,,,38.86999893,,49,,43.83000183,51.38000107,,
Burkina Faso,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,8.829999924,,,,,,,,,,,,,,,,13.56999969,,,,,12.85000038,,,,,,,21.81999969,,23.52000046,22.46999931,27.87999916,,,,,,,34.59999847,,,,39.34999847,29.65999985,,36.97000122,40.91999817,41.44203353,
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,29.22999954,,,,,,,,,,35.31999969,,,,,,,,,,47.49000168,,,,,,,,,,58.77000046,57.86000061,61.02000046,61.09000015,65.13999939,72.76000214,72.88999939,73.91000366,74.68000031,74.91000366,76.36000061,79,,
Bulgaria,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.19999695,,,,,,,,,,98.34999847,,,,,,,,,,,,,
Bahrain,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,69.75,,,,,,,,,,84.01000214,,,,,,,,,,86.55000305,,,,,,,,,,,,,,,,,,,,,97.87000275,97.84999847,97.81999969
"Bahamas, The","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.05999756,,,,,,,,,96.66000366,,,,,,,,,,,,,96.98999786,,,,,,,,,,,
Belarus,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.87999725,,,,,,,,,,99.58999634,,,,,,,,,,99.62000275,,,,,,,,,,99.87000275,,,,,
Belize,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.30000305,,,,,,,,,76.90000153,,,,,,,,,,,,,,,90.91999817,,,,,,,87.87999725,,
Bermuda,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,63.20999908,,,,,,,,,,,,,,,,79.98999786,,,,,,,,,86.72000122,,,,,,90.29000092,90.69999695,91.16999817,,92.23000336,94.45999908,,,92.45999908,,,,,93.84999847,,,95.55000305,
Brazil,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,74.58999634,,,,,,,,,,,,,,,,,,,,86.37000275,,,,88.62000275,,89.62000275,90.01000214,90.04000092,90.30000305,90.37999725,91.41000366,91.33999634,91.48000336,91.73000336,92.05000305,92.80999756,93.08000183,93.23000336,93.9019248,94.75764906,94.78488372,94.38538745,94.58396248,94.8005123
Barbados,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,99.26999664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,77.73999786,,,,,,,,,,87.80000305,,,,,,,,,,92.66999817,,,,,,,,,,96.08999634,,,,,,,,,,,,,
Bhutan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81000137,,,,,,,55.31999969,,,,,66.55999756,,,,,64.91000366,,
Botswana,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58000183,,,,,,,,,,,,81.19000244,,,,,,,,,,,,,,,,,,,,,
Central African Republic,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,18.23999977,,,,,,,,,,,,,33.61999893,,,,,,,,,,,,50.65000153,,,,,,,,,,,,,,,,,,,42.43999863,,,,,
Canada,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,97.96527863,97.98925018,98.0133667,98.05056763,98.08048248,98.11074829,98.14691162,98.2288208,98.28942871,98.35619354,98.41513062,98.47135162,98.52059174,98.56852722,,,,,,,,,,,,,,,,,,,,99.31072235,99.32865143,99.34700012,99.36766052,99.41535187,99.43575287,99.45275116,99.46800995,99.47991943,99.49182129,99.5003891
Switzerland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
