Country Name,Year,Country Code,Life expectancy,Literacy rate,Obesity rate,Schooling years,contraceptive_percent_married,elec_access_percent,elec_kwh_per_capita,energy_oil_equiv_kg_per_capita,gross_cap_form_gdp,internet_access_percent,mil_expenditure_percent,mobile_sub_per100,pol_stability_estimate,pol_stability_std,poverty_ratio,revenue_of_GDP.,urban_growth,urban_percentage,Inflation_Rate,Population,Labour_Force_Female,Unemployment_Rate,Government_Spending,GDP_per_capita,gold,silver,bronze,total,edition,edition_id
Afghanistan,2012,AFG,60.98375,31.45000076,30.5275,,21.519754985,50.825,,,,4.5011375,1.75750245515454,42.889875,-2.55279862880707,0.27321082726121,38.3,10.844454246275,4.46478470114251,23.84325,3.40319376328958,28914483,16.015,7.78675,,567.69675543699,0,0,1,1,2012 Summer Olympics,54
Albania,2024,ALB,78.405,97.68000031,61.95,,,100,2519.03332024234,790.609818573489,26.2035637726475,81.691,1.39932106543994,94.6255333333333,0.161994069814682,0.231668218970299,20.15,24.8250922792026,0.172044929923046,64.18775,3.9352320246825,2762486,55.605,10.49225,2731484205.31238,7961.62720853519,0,0,2,2,Paris 2024,2024
Algeria,2012,DZA,74.25175,,49.4125,,,98.875,1054.62771825866,1182.88753782207,42.3474853749994,14.2075,4.03832869695228,94.750125,-1.28547126054764,0.240164790302515,5.5,,2.99692350891055,67.87925,5.76594618311812,36557055,14.6366666666667,10.2625,35885493988.4728,5274.54456253543,1,0,0,1,2012 Summer Olympics,54
Algeria,2016,DZA,75.0675,,52.3425,,57.12173594,99.325,1382.95240080719,1354.36735069464,48.7254042554251,33.286375,5.76204102303571,109.12025,-1.14585879445076,0.211852107197046,,,2.94858433349417,70.526,4.33832696007236,39622363,16.3545,10.35875,40658190941.3196,5296.08490758024,0,2,0,2,2016 Summer Olympics,59
Algeria,2024,DZA,75.866,,57.28,,,99.9333333333333,1755.34070644045,1484.78974748624,37.3199570275669,74.6508,6.14585717832347,108.143333333333,-0.740331590175629,0.231668218970299,,,2.2001167908515,75.01225,7.46496672552197,45804253,,12.276,38675171098.0469,5029.3299463356,2,0,1,3,Paris 2024,2024
Argentina,2012,ARG,75.78975,,59.3225,10.7483925,,98.675,2814.05984876992,1827.91558829306,17.1647729031633,46.45,0.812624631395514,141.19975,-0.014404559507966,0.234764486551285,,20.68899503347,1.21481028703659,90.91275,,41508976,48.45,7.689,72812834379.8491,11016.0918124325,1,1,2,4,2012 Summer Olympics,54
Argentina,2016,ARG,76.2005,,62.4725,10.9894475,72.3702102000994,99.725,3055.64758476687,1912.44882170828,17.3256481631258,65.903025,0.843802827908016,146.976,0.0666766060749069,0.204441029578447,30.3,21.8258397365041,1.14866050056334,91.439,,43245962,47.8365,7.508,97013788050.2411,12894.1022492789,3,1,0,4,2016 Summer Olympics,59
Argentina,2020,ARG,76.5095,99.13999939,65.655,11.16078,70.1027087175867,100,2920.31360116133,1770.73636445645,15.862909582664,79.364075,0.753465721781481,129.3665,-9.21295722946663e-05,0.217157676815987,33.8,18.0765510437356,0.856655920083716,91.93025,43.280207599995,44777301,48.66,9.71775,83890484176.3169,11194.2187474993,0,1,2,3,2020 Summer Olympics,61
Argentina,2024,ARG,75.7163333333333,,68.025,,,100,2865.93406831402,1794.11362846797,17.6127685711552,88.605575,0.596395327610885,133.181,-0.0751940601427728,0.22636079788208,39.075,17.9574091384605,0.404072485339024,92.4045,118.553250191524,45488686,51.52825,7.389,94676910568.9523,13179.8464347102,1,1,1,3,Paris 2024,2024
Armenia,2012,ARM,73.5457317075,99.73999786,49.96,11.30916,54.9,99.525,1679.35410264999,886.589203459995,34.1406393789152,27.45,3.96510233091649,107.4558,0.0976611692458393,0.251734957098961,,22.5563578743854,-0.67308739641449,63.39,5.10401407808599,3040700,52.646,18.80325,1136022489.41005,3180.76356429035,0,1,1,2,2012 Summer Olympics,54
Armenia,2016,ARM,74.808536585,99.73999786,51.99,11.69998,57.1245984423594,99.725,1886.57292607096,1033.34884935335,20.545392389636,54.9924,4.06754945619405,117.28375,-0.277875104919076,0.211852107197046,,23.63964875371,-0.326816659522167,63.11075,2.7747650270978,3008175,53.894,17.488,1383266969.00345,3642.27579980172,1,3,0,4,2016 Summer Olympics,59
Armenia,2020,ARM,75.1085365875,99.76499939,53.845,11.30174,,99.9,2035.7476241737,1143.67530007519,19.4734604740246,69.0104,4.4349665733941,121.993,-0.567236989736557,0.227257117629051,26.7,23.2662681969625,-0.16729110318596,63.196,1.53616736873105,2968100,57.00225,18.28725,1613628151.6149,4232.74229218413,0,2,2,4,2020 Summer Olympics,61
Armenia,2024,ARM,74.8365853666667,99.829998015,55.2,,,100,2332.88570088573,1309.55930651869,22.202442460879,78.5455333333333,4.66593857391656,130.151666666667,-0.791358510653178,0.238348787029584,25,23.6064710773675,0.842593450828998,63.668,4.51891953464671,2982325,57.49,13.8555,2586999507.35288,6970.75840228582,0,3,1,4,Paris 2024,2024
Australia,2012,AUS,81.79512195,,60.5075,12.4933575,64.855,100,10730.7419924428,5709.81375183986,27.0822206706867,77.184425,1.80087187590471,103.96425,0.919421941041947,0.234764486551285,,23.4797712308884,1.8226990274196,85.23675,2.43902187630142,22199223,58.74725,5.27175,235270862105.136,56409.926640804,8,15,12,35,2012 Summer Olympics,54
Australia,2014,AUS,82.097560975,,61.0575,12.362885,67.75,100,10425.4716606457,5543.29950036022,27.1952550915275,81.4853,1.7097147225077,106.4655,0.999243065714837,0.219055660068989,,23.7397103230605,1.70997961352914,85.4515,2.50111041473969,22919326,58.74025,5.51225,281642481177.335,65353.315518331,0,2,1,3,2014 Winter Olympics,58
Australia,2016,AUS,82.324390245,,61.615,12.2261625,66.93,100,10195.7605298682,5369.11878861871,26.5806554276431,84.6385,1.86360030507301,107.56875,0.992467537522318,0.204441029578447,,24.5470612201685,1.66970540688859,85.65125,1.93079225334298,23652679,58.94175,5.87675,268350340862.519,59340.4639999677,8,11,10,29,2016 Summer Olympics,59
Australia,2018,AUS,82.524390245,,62.22,12.38232,66.93,100,10107.8582181424,5196.12204801962,25.1361306121285,86.911375,1.98552107163998,108.6425,0.938463672995568,0.200963497161865,,25.0142115356946,1.6554488810777,85.85425,1.66135150513366,24390687,59.72875,5.6645,262645091612.272,54431.3010591315,0,2,1,3,2018 Winter Olympics,60
Australia,2020,AUS,82.8371951225,,62.8475,12.433995,,100,10009.1825494156,5159.86094292566,23.6604329867992,91.2121,1.94788446976699,108.129,0.906847581267357,0.205422695726156,,25.5109715588814,1.5916035557379,86.07025,1.57943044106631,25134980,60.4085,5.62675,281200441600.389,54465.5946465303,17,7,22,46,2020 Summer Olympics,61
Australia,2022,AUS,83.15,,63.48,,,100,9931.90117634589,5085.00972908557,23.1311114758181,95.5795,1.94755765268372,107.31775,0.899733975529671,0.211003810167313,,25.814287764392,1.16909967541346,86.30375,2.97892013645788,25670971,61.287,5.11475,324236520405.664,58092.258620673,1,2,1,4,2022 Winter Olympics,62
Australia,2024,AUS,83.1837398366667,,63.8,,,100,9863.59924625267,4959.46593678122,23.7676839120553,97.0259,1.94027094627755,109.033666666667,0.911950767040253,0.211515734593074,,25.9491415318564,1.61910571446494,86.55425,4.55415908597476,26389349,62.4705,4.146,370046467439.246,63712.0491866374,18,19,16,53,Paris 2024,2024
Austria,2014,AUT,81.1365853675,,44.55,11.8305,65.6525747141987,100,8444.25340584751,3875.47839037622,24.0995041466872,80.09615,0.766991821890855,156.08125,1.29222238063812,0.219055660068989,14.2,44.7341993979684,0.596242871454909,57.281,2.34455569226867,8461953,55.12025,5.14675,85130384886.0426,50246.9070263994,4,8,5,17,2014 Winter Olympics,58
Austria,2016,AUT,81.364634145,,44.5825,12.0023925,65.6525747141987,100,8354.55523721178,3816.9611377029,24.0648178081197,82.4696,0.731614895847957,147.66225,1.16407687962055,0.204441029578447,14.125,45.0696224608791,1.22275217803443,57.6205,1.3485307716166,8601386,55.56175,5.72675,81647829061.3626,47649.2635630014,0,0,1,1,2016 Summer Olympics,59
Austria,2018,AUT,81.54207317,,44.6725,12.1215666666667,,100,8357.20774348205,3787.56294235455,24.8364088682783,85.919625,0.732540294569479,132.57,0.983997926115988,0.204470425844192,14.025,44.422318644545,1.17886185526937,58.00275,1.46695100401674,8754363,55.88575,5.59,80645991553.793,46833.6362436301,5,3,6,14,2018 Winter Olympics,60
Austria,2020,AUT,81.6060975625,,44.775,12.1759,,100,8304.99824733939,3717.51449777252,25.5096049782404,87.674075,0.784198468982427,122.13825,0.923568785190581,0.217157676815987,14.05,44.0176784034338,0.871716977316427,58.4135,1.74811380079909,8858717,56.03125,5.06375,86930501716.2515,49240.0555467999,1,1,5,7,2020 Summer Olympics,61
Austria,2022,AUT,81.3932926825,,44.89,,,100,8254.50686250001,3631.83700997479,27.0155239660777,90.356225,0.819177376403684,120.858,0.832013592123985,0.226712018251419,14.4666666666667,44.3389339277221,0.970859270167426,58.8785,3.55658571839906,8948608,56.1725,5.303,94945897170.5995,51106.9471534744,7,7,4,18,2022 Winter Olympics,62
Austria,2024,AUT,81.34227642,,44.955,,,100,8152.89068924479,3507.85836422524,26.1523226249817,94.099425,0.828832514591152,121.423333333333,0.758751213550568,0.225253318746885,14.8,44.6432733309767,1.17459414594436,59.4,5.51639662784334,9076972,56.5505,5.5385,102031226888.489,54673.0384569032,2,0,3,5,Paris 2024,2024
Azerbaijan,2012,AZE,70.457,99.772499085,55.8125,10.4642075,54.9,99.925,1745.47359795377,1397.64568297635,19.8981970851568,44.4,3.86129496140827,100.640175,-0.441072057932615,0.240164790302515,8.4,43.6185243700202,1.89221719140765,53.529,4.02711683423392,9117610,61.66,5.495,6174522384.42322,6369.9043067883,2,2,5,9,2012 Summer Olympics,54
Azerbaijan,2016,AZE,72.083,99.79000092,58.0725,10.4962025,,100,2188.8778065493,1503.97855134507,26.690720149162,75.8,4.56233513242841,107.27,-0.628898724913597,0.211852107197046,,37.351442090615,1.73518097394578,54.5755,5.06505496599761,9589758,62.15,4.96,6815391375.02517,6286.84363030126,1,7,10,18,2016 Summer Olympics,59
Azerbaijan,2020,AZE,72.328,99.795001985,60.0475,10.5446,,100,2201.08292561495,1518.69244985281,22.1205339949413,81.125,4.09903492651012,103.1255,-0.752241417765618,0.227257117629051,,38.0866564980379,1.46217038338604,55.86275,5.14371165513672,9977802,63.325,5.535,5462215568.04805,4480.6642053418,0,3,4,7,2020 Summer Olympics,61
Azerbaijan,2024,AZE,73.1843333333333,99.77999878,61.45,,,100,2373.97051242676,1690.02132641304,16.9769799804905,87.6666666666667,4.44405232249059,106.962333333333,-0.830461581548055,0.238348787029584,,37.0697420149112,0.969710084378904,57.38,7.87504013230108,10159078,63.05,5.73,9365132352.94118,6898.87589628331,2,2,3,7,Paris 2024,2024
Bahrain,2012,BHR,78.843,,63.87,8.01587,,100,18532.1534414594,10342.9454845594,26.3897169610565,68.25,3.58108669951176,140.6445,-0.677878167480231,0.240164790302515,,22.4261845634159,2.34744958312758,88.6675,1.17867800107086,1202735,43.11,1.1525,3814347539.89362,23189.0258204225,1,0,0,1,2012 Summer Olympics,54
Bahrain,2016,BHR,80.23925,,65.8125,9.25912,,100,19838.2485237345,10440.1908488413,26.6647635611352,92.99535,4.46866408008933,186.65275,-1.02596388757229,0.211852107197046,,19.4215024854529,4.18003276661656,88.95975,2.64574642027914,1340450,43.54,1.16875,5362902831.90601,25243.9033086313,1,1,0,2,2016 Summer Olympics,59
Bahrain,2020,BHR,79.99325,,67.4625,9.999565,,100,20309.3880789329,10049.8467155216,35.5062714911659,98.473825,4.10933363003351,136.95925,-0.760493755340576,0.22902249917388,,17.1815617148912,0.953556047958303,89.34325,0.540625359985346,1490041,,1.3495,6013071951.51113,25677.9410804553,0,1,0,1,2020 Summer Olympics,61
